frame,time,hi,hi,Total Solar,+x,-x,+y,-y,RF,Clk,Batt Discharge,Batt V,H-Batt V,Batt Charge,Batt Temp,Baseplate Temp,PA Temp,+x F,+z F,5a,5b,5c,5d,6a,6b,6c,6d
23,18:51:10,hi,hi,0.0,-10,110,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
24,18:51:15,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
25,18:51:18,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
26,18:51:23,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
27,18:51:26,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
28,18:51:32,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
29,18:51:34,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
30,18:51:37,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
31,18:51:40,hi,hi,0.0,-10,30,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
32,18:51:43,hi,hi,0.0,-10,110,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
33,18:51:45,hi,hi,0.0,-10,190,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,27.72,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
